0,1,2,3,1,2,3,1,2,2,2,2,3,1,2,3,1,2,3,1,2,1,2,3,4
5,6,7,8,6,7,8,6,7,6,7,8,8,6,7,8,6,7,8,6,7,6,7,8,9
10,6,7,8,6,6,7,8,6,7,8,8,7,8,6,7,8,6,7,8,6,7,8,8,14
15,6,6,6,6,6,6,6,6,7,8,6,7,8,6,6,6,6,6,6,6,6,7,8,19
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,7,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,7,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,7,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,18,16,18,-1,-1,-1,-1,-1,-1,-1,-1,17,13,7,13,-1,-1,-1,-1,-1,8,8,8,9
10,11,12,13,11,12,13,11,12,-1,-1,-1,11,12,13,11,12,13,-1,-1,12,11,12,13,14
15,16,17,18,16,17,18,16,17,-1,-1,-1,-1,17,18,16,17,18,-1,-1,-1,16,17,18,19
5,6,7,8,6,7,8,6,-1,-1,-1,-1,-1,-1,8,6,7,8,12,-1,-1,-1,7,8,9
5,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,9
10,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,13,14
15,6,7,8,6,7,8,6,7,8,-1,-1,8,6,7,8,6,7,8,6,7,6,7,8,19
20,21,22,23,23,23,23,23,23,23,-1,-1,21,22,23,21,22,23,21,22,23,21,22,23,24
