11,11,11,11,11,11,11,11,11,6,6,6,6,6,11,11,11,6,7,8,8,13,13,13,18,18,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,16,16,6,7,8,8,13,18,18,18,16,17,18,8,8,8,8,8,13,13,13,11,16,16,16,6,7,8,8,8,6,7,8,8,8,8,8,8,13,13,18,18,18,6,6,6,7,8,8,8,8,8,8,13,13,13,13,18,18,18,18,16,6,6,6,6,11,11,16,6,6,7,8,11,6,7,8,13,6,7,8,6,6,7
16,16,16,16,16,16,16,6,6,11,11,11,11,11,6,7,8,8,8,13,13,6,6,6,6,6,6,11,11,11,11,16,16,16,16,16,16,16,16,16,16,6,7,8,8,13,13,18,8,8,8,8,8,13,13,13,13,13,13,18,18,18,6,7,8,8,6,6,7,8,8,8,8,13,13,13,13,13,6,6,6,7,8,8,8,8,8,8,13,13,13,13,13,13,18,18,18,18,16,6,7,8,6,6,11,11,11,6,6,6,6,7,8,6,16,6,7,8,18,6,7,6,6,6,7
16,16,16,16,6,6,6,11,11,16,16,6,7,8,8,8,6,6,6,6,6,11,11,11,11,11,11,16,16,16,16,17,18,7,8,8,8,8,8,6,7,8,8,13,13,18,18,13,13,13,13,13,13,18,18,18,18,18,18,6,7,6,6,6,7,8,8,8,8,13,13,13,6,6,6,6,6,7,8,8,8,8,13,13,13,13,13,13,18,18,18,18,18,18,6,7,8,8,8,8,6,6,11,11,16,6,6,11,11,6,7,6,6,7,8,11,6,7,8,6,7,11,6,6,7
6,6,6,6,11,11,11,16,6,7,8,8,8,13,13,13,11,11,11,11,11,16,16,16,16,16,16,17,18,8,8,8,8,8,13,13,13,6,7,8,8,13,13,18,18,18,18,18,18,18,18,18,18,18,18,6,7,8,6,6,6,7,8,8,8,13,13,13,6,6,6,7,8,8,8,8,8,8,13,13,13,13,18,18,18,18,18,18,18,11,11,6,7,6,6,6,6,6,6,6,11,11,16,6,6,11,11,16,6,6,6,7,8,8,13,16,6,7,6,7,8,16,6,6,7
11,11,11,11,6,7,8,8,8,8,13,13,13,6,6,6,16,16,16,16,16,17,18,13,13,13,13,13,13,13,13,13,13,13,18,6,7,8,8,13,13,18,18,8,13,13,13,13,13,13,13,18,18,8,6,6,6,7,8,8,8,8,13,13,6,7,8,8,8,8,8,8,13,13,13,13,13,13,18,18,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,6,11,16,6,6,11,11,16,16,6,6,7,6,6,7,8,18,16,6,7,6,7,8,16,6,7,8
16,6,7,8,8,8,13,13,13,13,6,6,6,11,11,11,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,6,7,8,8,13,13,18,18,13,13,13,18,18,18,18,18,18,18,6,7,8,8,8,8,8,13,13,6,7,8,8,8,8,13,13,13,13,13,13,18,18,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,6,7,8,8,8,8,8,8,13,6,6,6,11,11,16,16,6,6,6,6,6,6,7,8,8,16,17,6,7,6,7,6,16,6,7,8
7,8,8,13,6,6,6,6,6,6,11,11,11,16,16,16,16,16,17,18,18,8,8,8,8,13,13,6,7,8,6,7,8,8,8,13,13,18,18,13,13,18,18,18,6,6,6,6,7,8,8,8,8,13,13,13,6,7,8,8,8,8,13,13,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,16,16,16,16,16,6,7,8,8,8,8,13,13,13,13,13,6,6,11,11,11,16,16,6,6,6,11,11,6,7,8,8,13,13,16,17,6,7,6,7,11,16,6,7,8
8,13,6,6,11,11,11,11,11,11,16,16,16,17,18,16,16,17,18,8,13,13,6,7,8,8,8,8,6,7,8,8,13,13,13,18,18,18,18,18,18,6,6,7,8,8,8,8,8,13,13,13,13,6,6,7,8,8,13,13,6,6,6,6,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,16,17,6,7,8,8,8,8,13,13,13,13,18,18,6,6,6,11,11,16,16,16,6,6,11,11,11,16,6,7,8,13,13,18,18,16,17,6,6,6,7,16,17,6,7,8
6,6,11,11,16,16,16,16,16,16,17,18,11,16,16,17,18,13,6,7,8,8,8,8,13,13,6,7,8,8,13,13,18,18,18,18,11,6,7,8,8,8,8,8,13,13,13,13,13,18,18,6,6,7,8,8,13,6,6,6,11,11,11,11,16,16,16,16,16,16,16,16,16,16,17,18,6,7,8,8,8,8,8,13,13,13,13,18,18,18,6,6,6,11,11,11,16,16,17,6,6,11,11,16,16,6,7,8,8,13,18,18,13,16,17,18,11,6,6,6,16,17,6,7,8
11,11,16,16,17,18,6,6,6,11,11,16,16,17,18,8,8,8,8,8,13,13,13,13,6,7,8,8,13,13,18,18,18,6,7,8,8,8,8,13,13,13,13,13,18,18,18,6,6,7,8,6,6,6,6,6,6,11,11,11,16,16,16,16,17,18,16,16,16,16,16,6,7,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,16,16,16,17,6,6,11,11,6,7,8,8,8,8,13,13,18,13,13,6,16,17,18,16,11,6,11,16,17,6,7,8
